Location,Last location,Next location,FullEmpty,With customer,ContainerType,ContainerSize,Owner,count
BE ANR,,,Empty,False,45R1,40.0,CARRIER,4
CA DAR,,,Empty,False,42U1,40.0,CARRIER,1
CA HAL,,,Empty,False,22G1,20.0,CARRIER,1
CA HAL,,,Empty,False,42G1,40.0,CARRIER,1
CA HAL,,,Empty,False,42P3,40.0,CARRIER,1
CA HAL,,,Empty,False,42U1,40.0,CARRIER,1
CA HAL,,,Empty,False,42U1,40.0,ONEWAY,1
CA HAL,,,Empty,False,45G1,40.0,CARRIER,1
CA HAL,,,Empty,False,45GB,40.0,CARRIER,1
CA HAL,,,Empty,False,45P3,40.0,CARRIER,1
CA HAL,,,Empty,False,45R1,40.0,CARRIER,8
CA HAL,,,Empty,False,45RB,40.0,CARRIER,2
CA HAL,,,Empty,False,LNRB,45.0,CARRIER,1
CA HAL,,,Empty,True,22G1,20.0,CARRIER,1
CA HAL,,,Empty,True,45R1,40.0,CARRIER,1
CA HAL,,,Full,False,22G1,20.0,CARRIER,1
CA HAL,,,Full,False,22GB,20.0,CARRIER,1
CA HAL,,,Full,False,42P3,40.0,CARRIER,1
CA HAL,,,Full,False,45G1,40.0,CARRIER,1
CA HAL,,,Full,False,45P3,40.0,CARRIER,1
CA HAL,,,Full,False,45R1,40.0,CARRIER,1
CA HAL,,,Full,True,22G1,20.0,CARRIER,1
CA HAL,,,Full,True,22GB,20.0,CARRIER,1
CA HAL,,,Full,True,42P3,40.0,CARRIER,1
CA HAL,,,Full,True,45G1,40.0,CARRIER,3
CA HAL,,,Full,True,45R1,40.0,CARRIER,2
CA NWP,,,Empty,False,22G1,20.0,CARRIER,1
CA NWP,,,Empty,False,22G1,20.0,ONEWAY,1
CA NWP,,,Empty,False,22GB,20.0,CARRIER,1
CA NWP,,,Empty,False,22U1,20.0,CARRIER,1
CA NWP,,,Empty,False,42P3,40.0,CARRIER,2
CA NWP,,,Empty,False,42U1,40.0,CARRIER,1
CA NWP,,,Empty,False,45G1,40.0,CARRIER,6
CA NWP,,,Empty,False,45G1,40.0,ONEWAY,1
CA NWP,,,Empty,False,45P3,40.0,CARRIER,1
CA NWP,,,Empty,False,45R1,40.0,CARRIER,1
CA NWP,,,Full,False,22G1,20.0,CARRIER,4
CA NWP,,,Full,False,22G1,20.0,ONEWAY,1
CA NWP,,,Full,False,22GB,20.0,CARRIER,1
CA NWP,,,Full,False,22U1,20.0,CARRIER,1
CA NWP,,,Full,False,22U1,20.0,SHIPPER,1
CA NWP,,,Full,False,42P3,40.0,CARRIER,1
CA NWP,,,Full,False,42U1,40.0,CARRIER,1
CA NWP,,,Full,False,45G1,40.0,CARRIER,1
CA NWP,,,Full,False,45G1,40.0,ONEWAY,1
CA NWP,,,Full,False,45H5,40.0,SHIPPER,1
CA NWP,,,Full,True,22G1,20.0,CARRIER,1
CA NWP,,,Full,True,22GB,20.0,CARRIER,1
CA NWP,,,Full,True,42U1,40.0,CARRIER,1
CA NWP,,,Full,True,45G1,40.0,CARRIER,1
CA NWP,,,Full,True,45P3,40.0,CARRIER,1
CA NWP,,,Full,True,45R1,40.0,CARRIER,1
CA TOR,,,Empty,False,45G1,40.0,CARRIER,1
CN TAO,,,Empty,False,45R1,40.0,CARRIER,1
